Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error,rmse,r2,cost
Booker,2004,100,45,108,492.619503486231,278,-170,169.5597239912828,0.0093203160713738,1782531
Booker,2005,98,45,104,490.75849852109326,272,-168,169.5597239912828,0.0093203160713738,1782531
Booker,2006,111,45,114,491.6946772660501,281,-167,169.5597239912828,0.0093203160713738,1782531
Booker,2007,96,45,101,496.3165878935717,280,-179,169.5597239912828,0.0093203160713738,1782531
Booker,2008,99,45,105,491.32452831191944,276,-171,169.5597239912828,0.0093203160713738,1782531
Booker,2009,108,45,116,498.26347369540485,282,-166,169.5597239912828,0.0093203160713738,1782531
Booker,2010,106,45,112,489.8175928587094,286,-174,169.5597239912828,0.0093203160713738,1782531
Booker,2011,107,45,114,490.47151341650635,293,-179,169.5597239912828,0.0093203160713738,1782531
Booker,2012,106,45,113,493.23055810274553,287,-174,169.5597239912828,0.0093203160713738,1782531
Booker,2013,103,45,107,493.6365382421948,277,-170,169.5597239912828,0.0093203160713738,1782531
Booker,2014,116,45,124,493.9794041834772,282,-158,169.5597239912828,0.0093203160713738,1782531
Booker,2015,109,45,115,490.03151341650636,284,-169,169.5597239912828,0.0093203160713738,1782531
Booker,2016,113,45,118,497.7758912073325,282,-164,169.5597239912828,0.0093203160713738,1782531
Booker,2017,110,45,117,497.19426178898476,275,-158,169.5597239912828,0.0093203160713738,1782531
Booker,2018,104,45,110,495.5505642421948,278,-168,169.5597239912828,0.0093203160713738,1782531
Booker,2019,104,45,111,490.0168076605425,283,-172,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2004,98,45,107,493.5035233467817,282,-175,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2005,101,45,108,494.43251838164406,270,-162,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2006,100,45,106,491.69452831191944,278,-172,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2007,100,45,104,490.3296027889848,280,-176,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2008,103,45,108,490.9705084513687,277,-169,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2009,92,45,96,495.1196524403617,281,-185,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2010,95,45,102,498.46457796329634,287,-185,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2011,98,45,104,498.8085481724702,289,-185,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2012,99,45,104,495.33055810274556,284,-180,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2013,92,45,96,494.7985978238471,276,-180,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2014,88,45,91,490.7266375449486,276,-185,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2015,103,45,110,490.16754320733247,284,-174,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2016,102,45,107,494.2566375449486,281,-174,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2017,99,45,104,491.34352334678175,282,-178,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2018,98,45,107,491.3023694275133,279,-172,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2019,114,45,118,498.5235729981586,283,-165,169.5597239912828,0.0093203160713738,1782531
Seaview,2006,104,45,107,494.1346276146732,274,-167,169.5597239912828,0.0093203160713738,1782531
Seaview,2007,103,45,110,492.9024190788902,276,-166,169.5597239912828,0.0093203160713738,1782531
Seaview,2008,115,45,120,497.0265382421948,276,-156,169.5597239912828,0.0093203160713738,1782531
Seaview,2009,92,45,96,500.9806077541225,274,-178,169.5597239912828,0.0093203160713738,1782531
Seaview,2010,101,45,104,492.25965244036166,279,-175,169.5597239912828,0.0093203160713738,1782531
Seaview,2011,108,45,114,493.16347369540483,291,-177,169.5597239912828,0.0093203160713738,1782531
Seaview,2012,106,45,113,491.8454339743033,278,-165,169.5597239912828,0.0093203160713738,1782531
Seaview,2013,99,45,104,495.4825680330209,277,-173,169.5597239912828,0.0093203160713738,1782531
Seaview,2014,94,45,98,490.9945779632963,274,-176,169.5597239912828,0.0093203160713738,1782531
Seaview,2015,118,45,125,493.9284985210933,278,-153,169.5597239912828,0.0093203160713738,1782531
Seaview,2016,128,45,132,497.84274217247014,277,-145,169.5597239912828,0.0093203160713738,1782531
Seaview,2017,113,45,118,494.89094141650634,275,-157,169.5597239912828,0.0093203160713738,1782531
Seaview,2018,105,45,109,499.8113930678833,274,-165,169.5597239912828,0.0093203160713738,1782531
Seaview,2019,99,45,105,491.5781954513687,273,-168,169.5597239912828,0.0093203160713738,1782531
Squire,2004,104,45,109,490.37362264953555,280,-171,169.5597239912828,0.0093203160713738,1782531
Squire,2005,96,45,100,497.59156306788327,273,-173,169.5597239912828,0.0093203160713738,1782531
Squire,2006,100,45,106,491.2074935559556,273,-167,169.5597239912828,0.0093203160713738,1782531
Squire,2007,103,45,110,492.96347369540484,281,-171,169.5597239912828,0.0093203160713738,1782531
Squire,2008,122,45,136,489.8843297064118,276,-140,169.5597239912828,0.0093203160713738,1782531
Squire,2009,110,45,117,492.6984985210933,276,-159,169.5597239912828,0.0093203160713738,1782531
Squire,2010,93,45,98,492.15251838164403,280,-182,169.5597239912828,0.0093203160713738,1782531
Squire,2011,103,45,108,490.13146376512947,290,-182,169.5597239912828,0.0093203160713738,1782531
Squire,2012,99,45,102,492.8776921614632,280,-178,169.5597239912828,0.0093203160713738,1782531
Squire,2013,99,45,104,490.9035729981586,276,-172,169.5597239912828,0.0093203160713738,1782531
Squire,2014,94,45,98,493.5975928587094,274,-176,169.5597239912828,0.0093203160713738,1782531
Squire,2015,119,45,126,493.0865878935717,278,-152,169.5597239912828,0.0093203160713738,1782531
Squire,2016,117,45,123,497.4108506843978,281,-158,169.5597239912828,0.0093203160713738,1782531
Squire,2017,120,45,129,492.54377473026716,277,-148,169.5597239912828,0.0093203160713738,1782531
Squire,2018,104,45,109,491.0717355210933,272,-163,169.5597239912828,0.0093203160713738,1782531
Squire,2019,110,45,115,492.84698811375256,273,-158,169.5597239912828,0.0093203160713738,1782531
